id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103875,Design house-city centre-private parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07453,4.31669,Entire home/apt,125,4,20,2021-11-12,0.13,3,1,0,0518B3A6F34367DC62EA
378711,ruime studio w.private kitchen/bath near beach.,1902132,Karen,Wijk 03 Westbroekpark en Duttendel,Duttendel,52.10673,4.30498,Private room,105,4,28,2024-08-13,0.40,2,268,3,0518 8B36 A437 A071 6DE3
450807,Zen in the City Privat Cosy XL APP,2238496,Saskia,Wijk 26 Bezuidenhout,Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,129,10,129,2024-08-31,0.84,1,344,2,0518 2B37 5D9E E68B 7E90
492615,Cute Room in  Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,43,2,445,2024-12-22,2.92,2,228,59,05188F255B48V7D7EF83
523633,Amazing Apartment on 39th floor 771,300966,Elwin,Wijk 38 Laakkwartier en Spoorwijk,Laakhaven-Oost,52.07067,4.32568,Entire home/apt,241,1,428,2024-12-07,2.81,20,356,18,Exempt
628445,Amazing Apartment on 39th floor 773,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07055,4.32493,Entire home/apt,,1,268,2024-10-06,1.79,20,345,5,Exempt
635931,Amazing Apartment on 39th floor 772,300966,Elwin,Wijk 27 Stationsbuurt,Rivierenbuurt-Zuid,52.07221,4.32558,Entire home/apt,236,1,160,2024-12-06,1.07,20,361,11,Exempt
635974,Amazing Apartment on 39th floor 774,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,212,1,243,2024-11-03,1.63,20,355,12,Exempt
641820,"B&B The Hague, Own floor, Shared front door",3206829,Coco,Wijk 04 Benoordenhout,Duinzigt,52.10292,4.32035,Entire home/apt,76,2,274,2024-11-24,1.96,1,334,16,0518 39C4 1D10 992B 8F94
730922,Second Cute Room Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,42,2,320,2024-12-14,2.29,2,241,34,0518 8F25 5B48 C7D7 EF83
774806,Very QUIET apartment between centre & beach,4069743,James,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.07854,4.28127,Entire home/apt,223,2,74,2024-11-03,0.58,1,210,4,0518 746B 667E 1E1A F580
800960,Amazing Apartment on 38th floor 767,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07024,4.32551,Entire home/apt,228,1,193,2024-11-24,1.32,20,357,10,Exempt
819029,TOP Studio Apartment | City Centre-Private Parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07425,4.31658,Entire home/apt,,2,56,2024-11-04,0.41,3,283,7,0518 FFC0 E3D5 3FC5 005F
857470,Amazing Apartment on 38th floor 769,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07169,4.3254,Entire home/apt,254,1,175,2024-04-21,1.20,20,359,1,Exempt
867183,Cozy Coach House -TOP location- Beach & City!,4558657,Louise,Wijk 09 Geuzen- en Statenkwartier,Statenkwartier,52.09847,4.28122,Entire home/apt,164,3,35,2024-08-29,0.33,1,125,5,Exempt
901609,"Artistic loft in the center, parking, bikes.",4817186,Yolande,Wijk 28 Centrum,Kortenbos,52.07683,4.30513,Entire home/apt,,4,329,2024-09-23,2.35,1,0,43,0518 4400 8D84 9B73 CB39
1082476,Comfortable rooms in the Hague,5537414,Ingrid,Wijk 12 Bomen- en Bloemenbuurt,Bloemenbuurt-Oost,52.07661,4.26267,Private room,39,2,42,2024-09-20,0.30,1,9,4,05184C04D31D7B8038E8
1229850,Amazing SkyStudio on 30th floor 735,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,180,1,388,2024-11-11,2.76,20,353,28,Exempt
1237312,Amazing SkyStudio on 30th floor 736,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,205,1,179,2024-08-31,1.28,20,363,5,Exempt
1237332,Amazing SkyStudio on 30th floor 738,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,167,1,470,2024-12-15,3.35,20,341,57,Exempt
1237340,Amazing SkyStudio on 30th floor 733,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07197,4.32437,Entire home/apt,178,1,462,2024-11-02,3.29,20,357,14,Exempt
1260071,Beach&City B&B Shortstay,6839100,Karen,Wijk 13 Vogelwijk,Vogelwijk,52.08302,4.26108,Entire home/apt,82,3,113,2024-11-03,0.82,1,307,20,0518 1720 1BCD 394C F7E8
1421301,Trendy house near beach & center,7651238,Yvonne,Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier,52.07858,4.2928,Entire home/apt,200,6,15,2021-08-07,0.12,1,0,0,0518 7623 4E0A AA1D 34F6
1493624,Guestroom,192354,Karel,Wijk 22 Zeeheldenkwartier,Zeeheldenkwartier,52.08489,4.29831,Private room,30,1,172,2022-09-30,1.24,1,1,0,0518 EF36 38BE BCBB 3DE3
1497896,Lovely family home near the beach the Hague,2361679,Fiona,Wijk 19 Vruchtenbuurt,Eykenduinen,52.0659,4.25495,Entire home/apt,150,5,28,2024-09-06,0.22,1,44,4,0518 7C61 704E 9866 48E8
1501251,Nette 2 - of 3 persoons kamer bij strand,7518101,Amelia,Wijk 02 Belgisch Park,Belgisch Park,52.11244,4.28559,Private room,110,1,149,2024-10-19,1.18,7,314,12,Exempt
1720337,Spacious Unique Beach House with Green Garden,8665880,Vincenzo,Wijk 02 Belgisch Park,Belgisch Park,52.11213,4.28627,Entire home/apt,,7,0,,,1,0,0,0518 E65A 9EAC CD74 D23D
1842203,Appartement 4 pers ground floor and parkingcard,8860750,Anita,Wijk 07 Scheveningen,Scheveningen Badplaats,52.10941,4.27899,Entire home/apt,116,6,195,2024-10-05,1.52,1,260,9,051811327CC66FCDFE9D
1858616,2-room apartment on the 1st (2nd in English),7128899,Tom,Wijk 04 Benoordenhout,Nassaubuurt,52.08785,4.31818,Entire home/apt,66,3,209,2024-11-27,1.54,1,198,28,0518 2617 C462 E426 8235
1917849,"Room B: Nice room near Beach, with balcony",7518101,Amelia,Wijk 02 Belgisch Park,Belgisch Park,52.11248,4.28573,Private room,110,1,55,2024-11-10,0.52,7,303,3,Exempt
1956981,Amazing SkyStudio on 30th floor 737,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,196,1,538,2024-11-30,4.00,20,342,35,Exempt
2008100,Great family house very close to sea & dunes,7582390,Bas,Wijk 13 Vogelwijk,Vogelwijk,52.07366,4.24111,Entire home/apt,195,7,11,2020-01-04,0.13,1,85,0,0518 6E32 C78D 414A 50BC
2035974,Mooie Kamer 100m van het Strand,7518101,Amelia,Wijk 02 Belgisch Park,Belgisch Park,52.11248,4.28573,Private room,110,1,195,2024-06-28,1.50,7,321,1,Exempt
2035975,Room E: Room near Beach & Kurhaus with balcony,7518101,Amelia,Wijk 02 Belgisch Park,Belgisch Park,52.11248,4.28573,Private room,110,1,109,2023-06-08,0.83,7,325,0,Exempt
2035980,B&B for Groups near Beach & Kurhaus,7518101,Amelia,Wijk 02 Belgisch Park,Belgisch Park,52.11248,4.28573,Private room,,1,135,2024-05-21,1.04,7,263,1,Exempt
2039991,Top floor loft with kitchen,7104766,Saskia,Wijk 04 Benoordenhout,Nassaubuurt,52.08966,4.31358,Entire home/apt,82,5,290,2024-09-13,2.17,1,33,7,0518 7B55 EBE1 D7F3 D5C1
